x	y	label
-5.848261971	4.797357097	-1
2.175664541	-3.585467086	-1
3.984801782	3.279366436	-1
-0.694296091	0.770744957	1
5.930051576	-0.671254616	-1
-6.207159642	-0.307779168	-1
0.502029481	-1.916714988	1
-1.034882656	-3.312936796	-1
9.357890561	-2.122714927	-1
6.174810022	3.296761986	-1
5.718863491	-4.916379284	-1
5.175634022	-4.455549791	-1
-1.68980987	1.82882168	1
-2.925809503	-0.419782098	1
-1.781975768	2.6985992	-1
